D483 | 2026-09-03 | OWNER | RULING | Luna protocol comparison | ACTIVE | Rerun three randomly selected luna-low profiles (random.seed(483)) on old era with sol’s identical protocol KB; compare D443 twins mechanistically and blinded; seal with D447/D449/D465. Run beside sol batch, two operators; watch weather.
D112 | 2026-07-30 | OWNER | RULING | Scripted acceptance | ACTIVE | Unassisted Playwright walkthrough of five D54 items must pass end-to-end for acceptance.
D106 | 2026-07-30 | OWNER | RULING | Whole queue acceptance | ACTIVE | v1 requires every queued unit merged plus D112 walkthrough passing; “anything else is polish” no longer defines gate. Queue includes CI/wizard/Expertise/maxima/flavor/archive/disclosure/forms/name/backup/registration work.
D100 | 2026-07-30 | OWNER | RULING | Performance scope | ACTIVE | No v1 performance budget, floor, or harness. Revisit only when someone feels slowness.
D540 | 2026-09-05 | OWNER | RULING | Picture work priority | ACTIVE | Classic/probe work outranks engine landings for gate lock and model seats until D536 medium bar passes; engine lanes continue but yield; iso stays paused.
D567@2026-09-06T22:44 | 2026-09-06 | SUPERVISOR | RULE | Cap sweep dispatch | ACTIVE | Screenshot travels outside context and tool-result byte accounting; arena rows record cap, pre/post-trim bytes and omitted-option count, and recorder assertion follows selected cap.
D569@2026-09-06T23:25 | 2026-09-06 | SUPERVISOR | RULING | Blind plan approval | ACTIVE | Omitted destination means hold; DESTINATION_REQUIRED if impossible. Resolve relative phrases by shortest path then lexical column,row, never tactical scores. Attempts 1..3, default 3, share 240 s. Refusals score zero; report executed-only and refusal-rate CIs.
D568@2026-09-07T00:07 | 2026-09-07 | SUPERVISOR | RULING | Low delivery candidate | ACTIVE | Facts-only is the luna-low comprehension candidate; reintroduce image only if a later factor makes it help.
D569@2026-09-07T00:19 | 2026-09-07 | SUPERVISOR | RULING | Blind plan amendment | ACTIVE | Blind/advice comparison must share adjustment capability: disable advice mid-round adjustments if blind has none, or implement equivalent blind adjustments. Blind required facts must serialize untruncated at 65536 base bytes plus 8 KiB board allowance.
D568@2026-09-07T00:55 | 2026-09-07 | SUPERVISOR | RULING | Low tuning noise | ACTIVE | Reject v2-evidence for luna low. Light gains below ~.05 may be noise; require both seeds and a repeat for later comparisons.
D568@2026-09-07T01:24 | 2026-09-07 | SUPERVISOR | RULING | Low comprehension closure | ACTIVE | Luna-low comprehension achieved; stop further tuning that chases noise. Two consecutive rounds without a CI-excluding gain count as maxed; next test is DM quality, low last under D569.
D565@2026-09-07T04:38 | 2026-09-07 | SUPERVISOR | RULING | Facts verdict closed | ACTIVE | D565 facts lever closed: comprehension solved at low/medium, judged play unchanged across replication and second family; seek play improvements elsewhere.
D569@2026-09-07T07:54 | 2026-09-07 | SUPERVISOR | FINDING | Nested ingress schema | ACTIVE | Enforce blind allowlists with strict schemas at every nesting level, validated by renderer and ingress boundary; use tight return types and undeclared-key injection checks at three depths.
D569@2026-09-07T08:39 | 2026-09-07 | SUPERVISOR | RULE | Blind capture isolation | ACTIVE | Blind screenshots are state-only: no offered-path overlay or DC preview; deliver PNGs with roles/hashes, keep advice default pixels unchanged.
D573@2026-09-07T09:40 | 2026-09-07 | SUPERVISOR | FINDING | Boundary verification gap | ACTIVE | Blind renderer must use engine-safe sources; verification includes engine-mcp-boundary.test.ts so reducer and RNG imports cannot leak into standalone MCP.
D576@2026-09-07T11:25 | 2026-09-07 | SUPERVISOR | RULE | Cover era boundary | ACTIVE | Pre-D576 judged results are a separate engine era; never compare them as post-D576 runs on the same seeds.
D576@2026-09-07T11:40 | 2026-09-07 | SUPERVISOR | RULING | Cover plan approval | ACTIVE | engine.query_line budget 0–3 per round, default 1; record calls/ingress, return sight/blocking cell/tier/sources without recommendations, reject budget/placement/stale-state violations. Semantic board carries per-cell terrain, never pair answers. Guide includes creature-cover and Large-creature examples.
D569@2026-09-07T13:09 | 2026-09-07 | SUPERVISOR | RULE | Blind resolver defaults | ACTIVE | Intent reason is optional and never judged. Resolver defaults to 180 s live deadline; arena must inject its 240 s experiment wall.
D569@2026-09-07T15:11 | 2026-09-07 | SUPERVISOR | RULE | Blind runner seed family | ACTIVE | D569 second families: hard 5118001–5118010, brutal 6207001–6207010, directories arena-basis-hard-2 / arena-basis-brutal-2. Reject used 6204001–6204010. Failed membership stops lane; no hand edits or overrides. Blind facts default off; both modes disable adjustments.
D569@2026-09-07T16:37 | 2026-09-07 | SUPERVISOR | RULE | Blind runner dispatch | ACTIVE | D569 runner consumes increment-4 pairwise packets; use frozen 5118/6207 manifest and maxed-state effort order. If plan counts cannot reconcile, report BLOCKED rather than guess a cell count.
D576.3@2026-09-07T16:44 | 2026-09-07 | SUPERVISOR | RULE | Corner amendment dispatch | ACTIVE | Passability cannot change a sight or cover answer; corner-rule amendments retain D576.2 dimensions and reuse existing corner geometry.
D576.4 | 2026-09-07 | OWNER | RULING | Elevation movement scope | ACTIVE | Give every square a height and each creature size a height; account for jumping, swimming, climbing and flying. Elevation remains plan-only behind flat-board readability; verify assumptions and SRD sources, label project height defaults honestly.
D578.2 | 2026-09-07 | CODEX | RULING | Player registration panel | ACTIVE | Drop Fable player arms and three associated comparisons without replacement; manifest v2 records exhausted usage. Panel sol high/opus/astra; Astra has no player arm. Model substitution changes study.
D578.1@2026-09-07T17:56 | 2026-09-07 | SUPERVISOR | RULE | Prompt correction dispatch | ACTIVE | Guide must match engine HP thresholds, warn BLOODIED is broad, and identify fixed glyph bar length. Permit bare tactical damage/path/route; reject dice, numeric damage, DCs, bonuses, coordinates/arrows and authority tokens. Direction spelling is north_east.
D572@2026-09-07T18:10 | 2026-09-07 | SUPERVISOR | RULE | Pool null interpretation | ACTIVE | Compare paired within-seat deltas; absolute panel levels across seats are not comparable. Room nominations still require unanimous seat preference; a null population average does not by itself settle selection.
D579@2026-09-07T18:29 | 2026-09-07 | SUPERVISOR | RULE | Prompt selector amendments | ACTIVE | All registered seats score every comparison in fresh sessions per packet; enforce packet exclusions. D569 manifest v3 records owner amendment. STRUGGLE_JUDGE_SEATS is sol/opus/astra; all seat-indexed types, paths and reports derive from it.
D576@2026-09-07T18:54 | 2026-09-07 | SUPERVISOR | FINDING | Source access lint | ACTIVE | Tests reading src/ use tests/helpers/test-filesystem.ts capability, not raw node:fs or unrelated declareTestInputs categories. Independent harvest checks include omissions from lane checks; never modify a worktree while it is gated.
D576.3@2026-09-07T19:10 | 2026-09-07 | SUPERVISOR | RULE | Engine-wide verification | ACTIVE | Engine-wide changes require sg scan and full locked suite; targeted implementer-selected specs cannot establish safety. Harvest checks cover what the lane omitted.
D580@2026-09-07T19:28 | 2026-09-07 | SUPERVISOR | RULING | Candidate nomination | ACTIVE | Nominated rooms require fresh evaluations excluded from selection plus tactical rules checks. Do not freeze four candidates into brutal-struggle: its protocol requires exactly 10 distinct seeds and --rooms 10.
D576.3@2026-09-07T22:25 | 2026-09-07 | SUPERVISOR | FINDING | Cover failure classification | ACTIVE | Before next geometry change, strengthen vane-warren's prose-only hand derivation with complete asserted fan vector. Do not raise unchanged-test timeouts to accommodate slower geometry; repair performance.
D576@2026-09-07T23:53 | 2026-09-07 | SUPERVISOR | RULING | Cover era landing | ACTIVE | 567cc8aa is D576 era boundary; never pool post-commit results with earlier judged runs, cap sweeps, pool null or nominations. Remaining order: generator, art, guide, probe questions, sol-high then luna-medium probes; elevation plan-only afterward.
D576@2026-09-08T00:10 | 2026-09-08 | SUPERVISOR | RULE | Cover generator safeguards | ACTIVE | Generator membership uses production trace, not authored kind. No per-seed corrections, hand edits or widened invariants; discard/name failures or stop. Without profile, preserve legacy bytes and RNG consumption. Lanes must not run full gates or outer flock.
D576@2026-09-08T01:13 | 2026-09-08 | SUPERVISOR | RULE | Cover basis harvest | ACTIVE | LOS-cover membership must demonstrate actual three_quarters cover between living creatures; total-cover membership may use creature-to-cell production traces with blocksSight. Legacy identity claims for absent directories are vacuous; void mutants prove nothing.
D576@2026-09-08T02:41 | 2026-09-08 | SUPERVISOR | RULE | Terrain visual invariants | ACTIVE | Wall fully opaque (16,384 pixels); three-quarters aperture ≥650 pixels; half transparent upper band; pairwise silhouette distance >3,000 across four floors/four light treatments. Semantic v2 exhaustively partitions terrain cells, never pair answers. Full gate/main landing precede probes.
D576@2026-09-08T04:55 | 2026-09-08 | SUPERVISOR | RULE | Browser regression investigation | ACTIVE | For reproducible browser failures, do not weaken tests, raise timeouts, add waits or label flaky; D544 allowance only covers named flakes. Preserve every visual invariant; stop rather than trade requirements.
D581 | 2026-09-08 | OWNER | RULING | Decider boundary correction | ACTIVE | Accepted rulings are retained individually in D581.1–D581.5 below; D585 ends only the Astra-decider governance boundary.
D586.3 | 2026-09-08 | OWNER | RULING | Pool4 informational limits | ACTIVE | Pool4 is informational only. The 180 s live-wall comparison includes Luna medium and reports cost/failure rate. All seats score every arm; per-seat/leave-one-out diagnostics and seed-clustered CIs accompany preregistered contrasts.
D584.25 | 2026-09-08 | SUPERVISOR | RULING | Browser budget discipline | ACTIVE | Non-D544-named tests do not receive timeout raises; make evidence fit the budget without weakening it. First D569 blind arm stays held until the browser gate is green.
D587.9 | 2026-09-08 | OWNER | RULING | Parallel extraction work | ACTIVE | Continue MCP request client as its own slice; give session command transaction extraction a planning lane in parallel.
D587.1–D587.9 (execution) | 2026-09-08 | SUPERVISOR | RULE | Recorded exposure integrity | ACTIVE | Take every timestamp from date. Analysis refuses Opus score configs, leaves ties unchanged, preserves advisory exposure independently of score files and refuses differing exposures. JUDGE_D guard matches claude/codex/gpt-/--model anywhere in seat commands.
D583.17 | 2026-09-08 | SUPERVISOR | PLAN-RECORD | Feasibility heap limit | ACTIVE | No decision on D583's fate until Astra reviews the reported 0.02% heap overshoot against the plan's SHELVE rule; D587.7's room-D rewrite waits on that answer.
D588.1 | 2026-09-09 | SUPERVISOR | FINDING | Commit verdict discipline | ACTIVE | Read verdict before committing; never `; git commit` after a test in the same chain ;; Ignore everything in art/incoming except README; keep owner source JPG untracked.
D600 | 2026-09-09 | OWNER | RULING | Offers plan reopening | ACTIVE | OFFERS-PLAN-02 starts from .tmp-plans/2026-09-08-offers-roadmap.md on claude/p-offer-help: fix diagonal bottleneck bypass and legacy grants:[] losing earned Dash; three fresh review rounds ;; Implementation slices follow approval.
D601 | 2026-09-09 | OWNER | RULING | Heldout AST remediation | ACTIVE | HELDOUT-S1-REM-01 on 1d6af854 (claude/p-heldout) replaces tools/heldout-leak-check.ts regex wall with TypeScript-AST import discovery, following D586.63's accepted elevation implementation ;; Everything else stays as reviewed.
D569.LANDED | 2026-09-11 | SUPERVISOR | REPORT | D569 follow-ups | ACTIVE | Install tools/d569-v5 and runbook v2 into ~/dnd-slim-runs; relaunch broken cells per D590.
D623.10 | 2026-09-14 | SUPERVISOR | PLAN-RECORD | Git-key frozen plan | ACTIVE | M-2 size contract ≤150/≤250; report BLOCKED rather than create a second module.
D635.5 | 2026-09-16 | SUPERVISOR | RULING | Tracked fixture normalization | ACTIVE | B4 manifest 17 includes generated fixtures; use tools/vtt-handoff/generate-fixtures.ts. Demonstrate old bytes; differences limited to removed foggedCells and derived visibility/concealment. Hand-derive both seats under D635, enumerate rays; adventurer/goblin not mutually visible. cells complement also legitimately changes.
D617.50.1 | 2026-09-16 | SUPERVISOR | FINDING | Record verified results | ACTIVE | Read and verify result before recording; record follows verified merge result, never the command. No automatic gate→commit chaining without reading verdict.
D635.7 | 2026-09-16 | SUPERVISOR | RULING | B4 investigation base | ACTIVE | Demonstration base is 75c2f44a, not pre-B4 HEAD. B4 r3 read-only: reproduce old bytes, trace player-A goblin visibility, classify rule/defect, hand-derive both seats with rays; no edits before supervisor rules. Eight-path allowance only for visibility-derived fields.
